STIG ID , Command Type , Command,Comment
V-253324 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Object Access - Removable Storage successes.
V-253325 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Policy Change - Audit Policy Change successes.
V-253289 , CMD ," sc query ""seclogon""",This command checks if the Secondary Logon service is disabled.
V-253288 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\mrxsmb10"" /v Start",This command checks if the SMBv1 client driver is disabled.
V-253320 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Object Access - File Share successes.
V-253321 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Object Access - Other Object Access Events successes.
V-253322 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Object Access - Other Object Access Events failures.
V-253323 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Object Access - Removable Storage failures.
V-253283 , CMD , bcdedit /enum {current},This command checks the Data Execution Prevention (DEP) configuration.
V-253282 , PowerShell , Get-NetFirewallRule -Direction Inbound ,This command lists all enabled inbound firewall rules.
V-253281 , PowerShell ," Get-Service -Name ""MpsSvc"" ",This command checks if the Windows Defender Firewall service is running and set to start automatically.
V-253280 , CMD , dir /s /b %SystemDrive%*.p12 %SystemDrive%*.pfx,This command searches for certificate installation files on the system.
V-253287 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters"" /v SMB1",This command checks if SMBv1 is disabled on the SMB server.
V-253286 , PowerShell , Get-WindowsOptionalFeature -Online ,This command checks if SMBv1 is disabled on the system.
V-253285 , PowerShell , Get-WindowsOptionalFeature -Online ,This command checks if PowerShell 2.0 is disabled.
V-253284 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\kernel"" /v DisableExceptionChainValidation",This command checks if Structured Exception Handling Overwrite Protection (SEHOP) is enabled.
V-253396 , CMD ," reg query ""HKLM\SOFTWARE\Policies\Microsoft\Windows\Explorer"" /v NoDataExecutionPrevention",This command checks if Data Execution Prevention for Explorer is enabled.
V-253270 , PowerShell ," Get-LocalGroupMember -Group ""Backup Operators""",This command lists members of the Backup Operators group.
V-253376 , CMD ," reg query ""HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Printers"" /v DisableHTTPPrinting",This command checks if printing over HTTP is prevented.
V-253337 , CMD ," reg query ""HKLM\SOFTWARE\Policies\Microsoft\Windows\EventLog\Application"" /v MaxSize",This command checks the Application event log size configuration.
V-253336 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for System - System Integrity successes.
V-253335 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for System - System Integrity failures.
V-253334 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for System - Security System Extension successes.
V-253333 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for System - Security State Change successes.
V-253332 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for System - Other System Events failures.
V-253331 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for System - Other System Events successes.
V-253330 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for System - IPsec Driver failures.
V-253339 , CMD ," reg query ""HKLM\SOFTWARE\Policies\Microsoft\Windows\EventLog\System"" /v MaxSize",This command checks the System event log size configuration.
V-253338 , CMD ," reg query ""HKLM\SOFTWARE\Policies\Microsoft\Windows\EventLog\Security"" /v MaxSize",This command checks the Security event log size configuration.
V-253390 , CMD ," reg query ""HKLM\SOFTWARE\Policies\Microsoft\Windows\CloudContent"" /v DisableWindowsConsumerFeatures",This command checks if Microsoft consumer experiences are turned off.
V-253326 , PowerShell , AuditPol /get /category:*,This command checks the audit policy configuration for Policy Change - Authentication Policy Change successes.
V-253449 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters"" /v RequireSecuritySignature",This command checks if the Windows SMB client is configured to always perform SMB packet signing.
V-253448 , CMD ," reg query ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon"" /v SCRemoveOption",This command checks if the Smart Card removal option is configured correctly.
V-257770 , PowerShell , AuditPol /get /category:*,This command checks if command line process auditing events are enabled for failures.
V-253441 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters"" /v DisablePasswordChange",This command checks if the computer account password is allowed to be reset.
V-253440 , CMD ," reg query ""HKLM\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters"" /v SignSecureChannel",This command checks if outgoing secure channel traffic is signed.
